MHz,600.13,,,,,,,
Temperature,27,,,,,,,
Solvent,H2O,,,,,,,
Spectrometer,Bruker AMX 600,,,,,,,
Residue,Linkage,Proton,PPM,JFrom,JTo,Hz,Note,
A-D-GLCPNAC," 6, 6, 5, 4", H5,4.108, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H1,5.585, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H2,2.998, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H3,3.728, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H4,3.386, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H5,3.745, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H6,3.8, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", H7,3.8, , , , note,
A-D-GLCPN, , C1,91.8, , , , note,
A-D-GLCPN, , C2,55.3, , , , note,
A-D-GLCPN, , C3,70.8, , , , note,
A-D-GLCPN, , C4,70, , , , note,
A-D-GLCPN, , C5,72.4, , , , note,
A-D-GLCPN, , C6,70.5, , , , note,
B-D-GLCPN,6, C1,101.6, , , , note,
B-D-GLCPN,6, C2,56, , , , note,
B-D-GLCPN,6, C3,73.4, , , , note,
B-D-GLCPN,6, C4,73.8, , , , note,
B-D-GLCPN,6, C5,74.7, , , , note,
B-D-GLCPN,6, C6,63, , , , note,
A-D-KDOP," 6, 6", C3,34.8, , , , note,
A-D-KDOP," 6, 6", C4,72.9, , , , note,
A-D-KDOP," 6, 6", C5,68, , , , note,
A-D-KDOP," 6, 6", C6,73.3, , , , note,
A-D-KDOP," 6, 6", C7,70.2, , , , note,
A-D-KDOP," 6, 6", C8,64.2, , , , note,
A-D-KDOP," 6, 6, 4", C3,34.8, , , , note,
A-D-KDOP," 6, 6, 4", C4,65.9, , , , note,
A-D-KDOP," 6, 6, 4", C5,67.2, , , , note,
A-D-KDOP," 6, 6, 4", C6,72.4, , , , note,
A-D-KDOP," 6, 6, 4", C7,71.5, , , , note,
A-D-KDOP," 6, 6, 4", C8,63.4, , , , note,
A-D-KDOP," 6, 6, 5", C3,33.4, , , , note,
A-D-KDOP," 6, 6, 5", C4,70, , , , note,
A-D-KDOP," 6, 6, 5", C5,63.5, , , , note,
A-D-KDOP," 6, 6, 5", C6,72.9, , , , note,
A-D-KDOP," 6, 6, 5", C7,71, , , , note,
A-D-KDOP," 6, 6, 5", C8,64.2, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", C1,94.4, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", C2,55, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", C3,73.8, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", C4,76.6, , , , note,
A-D-GLCPNAC," 6, 6, 5, 4", C5,73.3, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C1,97.2, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C2,55, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C3,71.8, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C4,70, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C5,72, , , , note,
A-D-GLCPN," 6, 6, 5, 4, 4", C6,60.5, , , , note,
